date,open,high,low,close,volume
2015-11-09,2663.33,2719.59,2663.33,2719.59,0
2015-11-10,2700.84,2719.59,2682.08,2682.08,0
2015-11-11,2682.08,2719.59,2682.08,2700.84,0
2015-11-12,2700.84,2738.35,2700.84,2738.35,0
2015-11-13,2738.35,2813.37,2738.35,2794.62,0
2015-11-16,2775.86,2794.62,2757.11,2775.86,0
2015-11-17,2757.11,2775.86,2738.35,2738.35,0
2015-11-18,2719.59,2775.86,2719.59,2775.86,0
2015-11-19,2775.86,2775.86,2738.35,2757.11,0
2015-11-20,2738.35,2775.86,2738.35,2738.35,0
2015-11-23,2738.35,2757.11,2719.59,2738.35,0
2015-11-24,2719.59,2738.35,2682.08,2700.84,0
2015-11-25,2700.84,2719.59,2682.08,2700.84,0
2015-11-26,2700.84,2719.59,2682.08,2700.84,0
2015-11-27,2700.84,2719.59,2682.08,2682.08,0
2015-11-30,2682.08,2682.08,2644.57,2644.57,0
2015-12-01,2663.33,2682.08,2644.57,2663.33,0
2015-12-02,2663.33,2682.08,2663.33,2682.08,0
2015-12-03,2682.08,2682.08,2663.33,2682.08,0
2015-12-04,2663.33,2682.08,2644.57,2663.33,0
2015-12-07,2644.57,2663.33,2625.82,2644.57,0
2015-12-08,2644.57,2644.57,2607.06,2644.57,0
2015-12-09,2644.57,2663.33,2625.82,2625.82,0
2015-12-10,2625.82,2644.57,2607.06,2625.82,0
2015-12-11,2607.06,2644.57,2607.06,2625.82,0
2015-12-14,2625.82,2663.33,2625.82,2663.33,0
2015-12-15,2663.33,2663.33,2625.82,2644.57,0
2015-12-16,2644.57,2682.08,2625.82,2644.57,0
2015-12-17,2663.33,2682.08,2644.57,2663.33,0
2015-12-18,2663.33,2663.33,2644.57,2644.57,0
2015-12-21,2644.57,2663.33,2625.82,2625.82,0
2015-12-22,2625.82,2644.57,2625.82,2625.82,0
2015-12-23,2625.82,2644.57,2607.06,2625.82,0
2015-12-24,2625.82,2644.57,2625.82,2625.82,0
2015-12-25,2625.82,2644.57,2625.82,2625.82,0
2015-12-28,2625.82,2625.82,2607.06,2625.82,0
2015-12-29,2625.82,2625.82,2607.06,2625.82,0
2015-12-30,2625.82,2644.57,2607.06,2625.82,0
2015-12-31,2625.82,2738.35,2607.06,2738.35,0
2016-01-04,2700.84,2700.84,2625.82,2644.57,0
2016-01-05,2625.82,2663.33,2625.82,2625.82,0
2016-01-06,2625.82,2644.57,2625.82,2644.57,0
2016-01-07,2644.57,2644.57,2607.06,2607.06,0
2016-01-08,2588.3,2607.06,2569.55,2588.3,0
2016-01-11,2588.3,2607.06,2569.55,2569.55,0
2016-01-12,2569.55,2607.06,2569.55,2607.06,0
2016-01-13,2607.06,2625.82,2588.3,2588.3,0
2016-01-14,2569.55,2588.3,2550.79,2588.3,0
2016-01-15,2569.55,2588.3,2550.79,2569.55,0
2016-01-18,2550.79,2550.79,2457.01,2494.53,0
2016-01-19,2475.77,2532.04,2475.77,2532.04,0
2016-01-20,2532.04,2550.79,2513.28,2513.28,0
2016-01-21,2494.53,2532.04,2475.77,2494.53,0
2016-01-22,2494.53,2550.79,2475.77,2550.79,0
2016-01-25,2569.55,2663.33,2569.55,2663.33,0
2016-01-26,2663.33,2663.33,2607.06,2644.57,0
2016-01-27,2663.33,2682.08,2644.57,2663.33,0
2016-01-28,2682.08,2738.35,2682.08,2719.59,0
2016-01-29,2719.59,2719.59,2682.08,2700.84,0
2016-02-01,2719.59,2719.59,2682.08,2700.84,0
2016-02-02,2682.08,2700.84,2663.33,2700.84,0
2016-02-03,2682.08,2700.84,2682.08,2682.08,0
2016-02-04,2700.84,2738.35,2682.08,2719.59,0
2016-02-05,2719.59,2775.86,2719.59,2757.11,0
2016-02-15,2813.37,2850.89,2775.86,2813.37,0
2016-02-16,2813.37,2813.37,2775.86,2813.37,0
2016-02-17,2813.37,2813.37,2794.62,2794.62,0
2016-02-18,2813.37,2832.13,2794.62,2794.62,0
2016-02-19,2832.13,2925.91,2794.62,2907.15,0
2016-02-22,2925.91,2944.66,2907.15,2907.15,0
2016-02-23,2907.15,2925.91,2869.64,2869.64,0
2016-02-24,2832.13,2888.4,2813.37,2869.64,0
2016-02-25,2869.64,2888.4,2832.13,2832.13,0
2016-02-26,2832.13,2832.13,2794.62,2813.37,0
2016-02-29,2813.37,2813.37,2738.35,2738.35,0
2016-03-01,2719.59,2832.13,2719.59,2832.13,0
2016-03-02,2832.13,2850.89,2794.62,2813.37,0
2016-03-03,2832.13,2832.13,2794.62,2813.37,0
2016-03-04,2813.37,2832.13,2794.62,2813.37,0
2016-03-07,2794.62,2813.37,2775.86,2775.86,0
2016-03-08,2775.86,2775.86,2757.11,2775.86,0
2016-03-09,2775.86,2813.37,2775.86,2794.62,0
2016-03-10,2794.62,2813.37,2775.86,2813.37,0
2016-03-11,2813.37,2813.37,2775.86,2794.62,0
2016-03-14,2794.62,2794.62,2757.11,2757.11,0
2016-03-15,2775.86,2775.86,2738.35,2757.11,0
2016-03-16,2757.11,2757.11,2738.35,2757.11,0
2016-03-17,2757.11,2775.86,2738.35,2775.86,0
2016-03-18,2757.11,2775.86,2757.11,2775.86,0
2016-03-21,2757.11,2775.86,2738.35,2757.11,0
2016-03-22,2757.11,2775.86,2738.35,2738.35,0
2016-03-23,2757.11,2757.11,2738.35,2738.35,0
2016-03-24,2738.35,2757.11,2719.59,2719.59,0
2016-03-25,2719.59,2738.35,2719.59,2738.35,0
2016-03-28,2738.35,2738.35,2719.59,2738.35,0
2016-03-29,2738.35,2738.35,2719.59,2719.59,0
2016-03-30,2719.59,2738.35,2682.08,2700.84,0
2016-03-31,2700.84,2719.59,2682.08,2682.08,0
2016-04-01,2682.08,2682.08,2625.82,2644.57,0
2016-04-04,2644.57,2663.33,2625.82,2644.57,0
